683|Marketing Management Training for Women Organic Farmers in Yogyakarta, Indonesia|The project creates communication and change agents among women organic farmers to delivers peer education on marketing management to address the existing problems in promotion and increasing consumers preference to organic foods in Yogyakarta.|July 09, 2013|abdul rohman|EOS International|http://www.hcdconnect.org/profiles/abdul-rohman/|Bangladesh|Gender Equity;Agriculture
684|A Peer-to-Peer Food Economy|As food prices rise in America, the poor feel the greatest impact. brLocal is building a tool that will help aid more community-based food economies and more food access in America.|July 09, 2013|Ubr Local|UbrLocal|http://www.hcdconnect.org/profiles/ubr-local/|Seattle, WA|Water;Environment;Health;Community Development;Energy;Education;Agriculture
685|Video: Can Urban Food Help Solve Poverty?|Interview with Rob Holland from SoleFood Farms, an urban food network in Vancouver BC that employs people recovering from drug and alcohol problems in the poorer areas of the city.|July 09, 2013|Ubr Local|UbrLocal|http://www.hcdconnect.org/profiles/ubr-local/|Seattle, WA|Water;Environment;Health;Community Development;Energy;Education;Agriculture
686|The HCD process in implementation of clean energy project in Mageta Island, Lake Victoria, Kenya|HCD methods have proved to have great relevance and assisted largely in planning and implementation of a clean energy solar lamp enterpreneurship project in Mageta Island, Lake Victoria Kenya.|July 10, 2013|Hausner Wendo|ECOFINDER KENYA|http://www.hcdconnect.org/profiles/kitali-ngaira/|Gauteng, South Africa|Environment;Community Development;Energy
687|The HCD process in implementation of clean energy project in Mageta Island, Lake Victoria, Kenya|HCD methods have proved to have great relevance and assisted largely in planning and implementation of a clean energy solar lamp enterpreneurship project in Mageta Island, Lake Victoria Kenya.|July 10, 2013|Hausner Wendo|ECOFINDER KENYA|http://www.hcdconnect.org/profiles/kitali-ngaira/|Gauteng, South Africa|Environment;Community Development;Energy
688|The HCD process in implementation of clean energy project in Mageta Island, Lake Victoria, Kenya|HCD methods have proved to have great relevance and assisted largely in planning and implementation of a clean energy solar lamp enterpreneurship project in Mageta Island, Lake Victoria Kenya.|July 10, 2013|Hausner Wendo|ECOFINDER KENYA|http://www.hcdconnect.org/profiles/kitali-ngaira/|Gauteng, South Africa|Environment;Community Development;Energy
689|Farming for livelihood and food security|Post harvest loaning scheme as a way of dodging exploitative middlemen buyers|July 10, 2013|Marisa Schlenker|ECOFINDER KENYA|http://www.hcdconnect.org/profiles/marisa-schlenker/|Gauteng, South Africa|Community Development;Agriculture;Financial Services
690|Increasing food security through horticultural farming|Farmers in Kogweno location of Karachuonyo want to set-up green houses to grow horticultural crops such as tomatoes, onions, cabbages and potatoes to ensure food security and also some surplus for selling and earning income to help cater for their other needs.|July 10, 2013|Rose Adede|ECOFINDER KENYA|http://www.hcdconnect.org/profiles/rose-adede-0/|Gauteng, South Africa|Gender Equity;Agriculture
691|Biochar: reversing soil degradation, increasing crop yields, while maximizing profits for rural farmers.|Improving soil fertility and increasing crop yields in the rural community of Pumamarca, Peru.|July 10, 2013|Jesus Garcia-Gonzalez|GAIA International|http://www.hcdconnect.org/profiles/jesus-garcia-gonzalez/|Sao Paulo - So Paulo, Brazil|Environment;Energy;Agriculture
692|Transforming the lives of a peasant/subsistence farming Community|The lives of impoverished farming community transformed by the intervention of new farming methods.|July 10, 2013|Simon Abukari|GAIA International|http://www.hcdconnect.org/profiles/simon-abukari/|Gauteng, South Africa|Water;Environment;Health;Community Development;Education;Agriculture
693|Changing Lives Through Natural Farming Methods|We are promoting small-scale farmers to use sustainable natural farming methods for food security, environmental and sustainable livelihoods.|July 10, 2013|Crospath Crospath Zimbabwe|Crospath|http://www.hcdconnect.org/profiles/crospath-crospath zimbabwe/|Gauteng, South Africa|Water;Gender Equity
694|Increasing the Economic Position of Women in Rural Azerbaijan|This project connects rural women in Azerbaijan with markets in an urban area where there's a strong demand for their agriculture products.|July 10, 2013|Annie Pease|Peace Coprs|http://www.hcdconnect.org/profiles/annie-pease/|Bangladesh|Gender Equity;Agriculture
695|Applying HCD Power to gain Deeper insight on Project Contexts|"Immediately after the three day orientation, one went on to ""test the Power' of HCD in collecting details about the area, people and institutions related toentrepreneurship in agribusiness. I looked into Local Government Projects, NGOs activities, Private for Business institutions and individual trainees' ownInterests and Attitudes."|July 10, 2013|John Kimario|OKOA Society|http://www.hcdconnect.org/profiles/john-kimario/|Gauteng, South Africa|Community Development;Education;Agriculture
696|""" I would rather starve than eat cassava"""|The negative perception certain Kenyan urban societies have of orphan crops, has an adverse effect on their purchase, consumption and national food security.|July 10, 2013|Kagonya Awori|iHub UX Lab|http://www.hcdconnect.org/profiles/kagonya-awori/|Gauteng, South Africa|Agriculture
697|We do empower youth village by generating income activities|It is better to empower your village target group by agriculture|July 10, 2013|HABANABAKIZE Thomas|Rwanda Village concept Project|http://www.hcdconnect.org/profiles/habanabakize-thomas/|Gauteng, South Africa|Environment;Community Development;Health;Gender Equity;Education;Agriculture
698|Handicap and Agriculture|Disabilty is Not Inability|July 10, 2013|Moses Forbi|Peter Ambe Memorial Helping Hand Association (PAMHHA)|http://www.hcdconnect.org/profiles/moses-forbi/|Gauteng, South Africa|Water;Environment;Financial Services;Community Development;Gender Equity;Education;Agriculture
699|Re- imagine Farmer Networks in South India|Sms messages may hold the key to saving jobs and lives of smallhold farmers in Tumkur, India by providing them real-time data and accurate information so their collective knowledge may help sustain their livilhoods.|July 10, 2013|Bridget Sheerin|BodyBrain|http://www.hcdconnect.org/profiles/bridget-sheerin/|Mumbai, Maharashtra, India|Water;Community Development;Agriculture
700|SAVINGS AND CREDIT SCHEME ENHANCE THE BEANS VALUE CHAIN|Eco-Agric Uganda farmers started a savings and loan scheme to help them bulk and sell their beans at better prices|July 10, 2013|KALUNGI CHARLES|Environmental Conservation and Agricultural Enhancement Uganda|http://www.hcdconnect.org/profiles/kalungi-charles/|Gauteng, South Africa|Environment;Gender Equity;Agriculture;Financial Services;Community Development
701|Food Security in Murhu block of Khunti district, Jharkhand through promotion of System of Rice Intensification (SRI)|System of Rice Intensification (SRI) is an improved method of rice cultivation. NABARD project is providing support to farmers in order to increase their food security through SRI in the Murhu block of Khunti district in Jharkhand, India. Nav Bharat Jagriti Kendra implemented the project in 15 villages.|July 10, 2013|Helen Kras|Nav Bharat Jagriti Kendra (NBJK)|http://www.hcdconnect.org/profiles/helen-kras/|Mumbai, Maharashtra, India|Environment;Gender Equity;Agriculture
702|Transforming Small-Holder Farmers' Livelihoods - Family-Centric Community Driven Enterprise Solutions|We aim at creating wealth for the small-holder farming households through a family-centric transformational approach. We build on people's strength and aspirations, connect up to converge efforts and create impactful change. We strongly believe in moving beyond traditional 'activity-centric approach' to 'family/people-centric transformational approach', which demands multiple streams of support than just delivering certain activities.|July 10, 2013|Narayanan Raghunathan|Nav Bharat Jagriti Kendra (NBJK)|http://www.hcdconnect.org/profiles/narayanan-raghunathan-0/|Mumbai, Maharashtra, India|Water;Community Development;Energy;Agriculture;Financial Services
703|How can a community still tied to old farming methods be assisted to embrace new farming techniques?|Changing farming methods is the only salvation.|July 10, 2013|Austine Kagose|Nav Bharat Jagriti Kendra (NBJK)|http://www.hcdconnect.org/profiles/austine-kagose/|Gauteng, South Africa|Agriculture
704|Environmental Ambassadors  Balis new Visionary Leaders|Equipping passionate local youth with the skills and knowledge to champion initiatives in environmental sustainability and food security for their own communities.|July 11, 2013|ROLE Foundation|ROLE Foundation|http://www.hcdconnect.org/profiles/bali-role/|Bali, Indonesia|Environment;Agriculture;Education;Health;Community Development
705|Lord Buddha Home for Children: Orphanage for disadvantaged children In Bihar|LBHC is a home for orphan children in Bihar established by NBJK. Currently 60 children live in a welcoming home, receive 3 meals a day, free education and free health care.|July 11, 2013|Helen Kras|Nav Bharat Jagriti Kendra (NBJK)|http://www.hcdconnect.org/profiles/helen-kras/|Mumbai, Maharashtra, India|Education
706|Lord Buddha Home for Children: Orphanage for disadvantaged children In Bihar|LBHC is a home for orphan children in Bihar established by NBJK. Currently 60 children live in a welcoming home, receive 3 meals a day, free education and free health care.|July 11, 2013|Helen Kras|Nav Bharat Jagriti Kendra (NBJK)|http://www.hcdconnect.org/profiles/helen-kras/|Mumbai, Maharashtra, India|Education
707|Cross Disability Rights and Women Empowerment in Jharkhand, India|NBJK works with people with disabilities for more than 10 years. Through its MAST programs, Rojgar, and Usha Tailoring programs, NBJK identify disadvantaged youths, women, and disabled people and support them with training, skills, and aids and appliances so they can receive a stable income. Below is a case study conducted by NBJK in order to access the outcomes and impacts of such projects. This is the story told by one of the beneficiaries,|July 11, 2013|Helen Kras|Nav Bharat Jagriti Kendra (NBJK)|http://www.hcdconnect.org/profiles/helen-kras/|Bhopal, Madhya Pradesh, India|Gender Equity;Financial Services
708|Promoting Agro Business and Agro Entrepreneurship through ICT in Gulmi-Nepal|We intend to use ICT to promote agriculture development and entrepreneurship by creating a value chain of Farmers and Markets in Gulmi District of Nepal. This chain will create an eco system in which farmers will be able to network through ICT tool and market and sell niche agro products like Ginger which the community has been producing, drying and packaging for commercial sales.|July 11, 2013|Ashish Bhandari|Hamro Prabidhi Ramro Nepal (Our Technology, Prosperous Nepal)|http://www.hcdconnect.org/profiles/ashish-bhandari/|Hanoi, Vietnam|Community Development;Agriculture;Financial Services
709|IMPROVING VALUE OF WIDOWS AND SINGLES PARENTS IN FARMING OF CEREALS(MAIZE) ROOT AND TUBER CROPS|The work is seeking to improve the livelihood of widows and single parents.|July 11, 2013|daniel gyan|center for widows and single parents|http://www.hcdconnect.org/profiles/daniel-gyan/|Gauteng, South Africa|Environment;Community Development;Education;Agriculture
710|Participatory Co-Design for Flood Victims in the Philippines|A student led community workshop was facilitated to gather information on the needs for the residents in the flood disaster relief housing community.|July 11, 2013|Anna Koosmann|Foundation University|http://www.hcdconnect.org/profiles/anna-koosmann/|Dumaguete City, Central Visayas, Philippines|Water;Environment;Health;Community Development;Education;Agriculture
711|A comunity for the community|For a positive change in the society, its the community members who should identify their needs and challenges and rise together in unison to rectify the situation.|July 11, 2013|Jared Nyakiye|Foundation University|http://www.hcdconnect.org/profiles/jared-nyakiye/|Gauteng, South Africa|Environment;Community Development;Education;Health;Agriculture
712|Increasing efficancy of smallholder farmers|&#13;|July 11, 2013|arne pauwels|Foundation University|http://www.hcdconnect.org/profiles/arne-pauwels/|Gauteng, South Africa|Environment;Community Development;Agriculture
713|GRAVTATIONAL -OVERHEAD SPRINKLING IRRIGATION FOR ENHANCING PERENNIAL FOOD SECURITY IN WEST KABONDO DIVISION|Food insecurity threatens the lives of over 15,000 residents who rely on buying cereals from other parts of Kenya, hence making living cost very high, due to crop failures caused by unreliable rainfall, YET a WATER PROJECT is stagnant at utility level due to lack of electricity bill: Kenya Government and JICA- Japanes International Cooperation Agency built 8 boreholes and installed electric transformers at each hole to pump water to overhead tanks to be used for domestic and irrigation purposes from laid pipes, a fact which has made our proposed project to use HCD Methods to revamp irrigation for unending food production in this semi-arid area.|July 11, 2013|NEWTON ONYANGO ATELA|Foundation University|http://www.hcdconnect.org/profiles/newton onyango-atela/|Gauteng, South Africa|Environment;Gender Equity;Energy;Water;Community Development;Health;Financial Services;Education;Agriculture
714|Postcards from the field|A collection of design concepts inspired by literature and field work in Kenya.|July 11, 2013|Susan Wyche|Michigan State University|http://www.hcdconnect.org/profiles/susan-wyche-0/|Jamaica|Agriculture
715|Farm workers' needs|We wanted to have greater insight into farm workers' needs, and utilise these as a point of 'design departure'.|July 11, 2013|Izak van Zyl|Michigan State University|http://www.hcdconnect.org/profiles/izak-van zyl/|Gauteng, South Africa|Community Development;Education;Health;Agriculture
716|Conservation and Economic Development through the tourism supply chain.|How can we support local communities in developing a sustainable supply chain for tourism activities in collaboration with the private sector resulting in communities and other local actors becoming effective conservation players.|July 11, 2013|Ester Oosterhuis|Africa Travel Planner|http://www.hcdconnect.org/profiles/ester-oosterhuis/|Gauteng, South Africa|Environment;Community Development;Agriculture
717|Entrepreneurship through Agroforestry in Nicaragua|Through agroforestry development and technical training women and men in the Goyena community of Nicaragua are able to create sustainable businesses to address poverty, unemployment, and food security in their community.|July 11, 2013|Brianna Russell|Viviendasleon|http://www.hcdconnect.org/profiles/brianna-russell-1/|Berkeley, CA|Environment;Community Development;Education;Agriculture;Gender Equity
718|Connecting a Returning Generation of Farmers to Cooperative Infrastructure and Mentorship|&#13;|July 11, 2013|Zachari Curtis|Community Farming Alliance|http://www.hcdconnect.org/profiles/zachari-curtis/|Berkeley, CA|Gender Equity;Health;Financial Services;Agriculture;Community Development
719|Waste-to-Wonder: Recovery of Balis Natural Environments through Local Initiatives|Building on local capacities, ROLE Foundation is helping local communities to champion improvements in environmental stewardship in Bali, Indonesia.|July 11, 2013|ROLE Foundation|ROLE Foundation|http://www.hcdconnect.org/profiles/bali-role/|Bali, Indonesia|Environment;Community Development;Education;Health;Agriculture
720|Educating through Aquaponics Water Management Systems|The Department of Architecture and Agriculture are teaming up to impliment a water management system incorporating aquaponic technology.|July 11, 2013|Anna Koosmann|Foundation University|http://www.hcdconnect.org/profiles/anna-koosmann/|Dumaguete, Central Visayas, Philippines|Environment;Water;Education;Agriculture;Community Development
721|Farmers excited to be considered as researchers|&lt;!-- 		@page { margin: 2cm } 		P { margin-bottom: 0.21cm } 	--&gt;|July 12, 2013|Martin K.D. Ben-Bala|RINATED (Research on Innovative and Appropriate Technology for sustainable Development)|http://www.hcdconnect.org/profiles/martin k.d.-ben-bala/|Gauteng, South Africa|Agriculture
722|Rallying Aspirants to climb the Kilimanjaro!!!|We went on toprepare for a meeting of about 40 agribusiness aspirants who have registered their interests to 'climb the Kilimanjaro' together or as individuals. We would further translate all we've learned about the aspirants and their contexts, readying teams and individuals for a challenge to reach the peak...|July 12, 2013|John Kimario|OKOA Society|http://www.hcdconnect.org/profiles/john-kimario/|Gauteng, South Africa|Community Development;Education;Agriculture
723|Hollowell Super Giant Foods Community Garden|Rather than simply providing healthy food in this low-income food desert in Atlanta, we seek to work with the community and Super Giant Foods to design and operate this garden. Super Giant has a huge, unused parking lot where community members and store employees can grow healthy food on grocery store land, prepare, and display it for sale in the store. The store owner is renovating to have a community kitchen when neighbors can learn to cook together. Another possibility is using the garden for Food Prescriptions.|July 12, 2013|Michael Arenson|OKOA Society|http://www.hcdconnect.org/profiles/michael-arenson/|Berkeley, CA|Environment;Community Development;Education;Health;Agriculture
724|Growing produce with residents of northern Canada|We are working with communities in northern Canada to increase the availability of fresh produce.|July 12, 2013|Cool House Harvest|Cool House Harvest|http://www.hcdconnect.org/profiles/ted-0/|Berkeley, CA|Environment;Agriculture;Education;Health;Community Development
725|Rural farmers designing their own future through organic agriculture|Our story is about empowering rural organic farmers to generate income for themselves in an area that has high levels of poverty, unemployment and illiteracy.|July 12, 2013|Diane Pieters|Cool House Harvest|http://www.hcdconnect.org/profiles/diane-pieters/|Gauteng, South Africa|Water;Community Development;Agriculture
726|OhSparrow: Community Sourced Solutions|OhSparrow is a set of online tools to help low income community members work together to solve problems big and small.|July 12, 2013|Dhaval Shah|California College of the Arts|http://www.hcdconnect.org/profiles/dhaval-shah/|Berkeley, CA|Community Development;Education
727|Innovating the coffee drying process to improve livelihoods of Colombian coffee farmers|The interdisciplinary SecaCafe team used the HCD process to redesign the coffee drying process for smallholder Colombian coffee farmers|July 12, 2013|Lily Lyman|Stanford GSB|http://www.hcdconnect.org/profiles/lily-lyman/|Sao Paulo - So Paulo, Brazil|Water;Agriculture
728|Farm Hack Davis event aims to amplify small farm innovation|FarmHack Davis is a collaborative design and build event that will bring together farmers, designers, engineers, mechanics, tinkerers and makers to build technologies, ideas and the community to make bean and grain production ecologically and economically feasible at a local and regional scale. The workshop's products and designs will be released in our farmer's fields and made accessible to anyone through an open source platform.|July 12, 2013|Marisa Alcorta|NCAT - National Center for Appropriate Technology|http://www.hcdconnect.org/profiles/marisa-alcorta/|Berkeley, CA|Community Development;Education;Agriculture
729|Click Raquel Daza's Story on HCD Connect|Love Mother's Earth to nourish our people live better and longer.|July 12, 2013|RACQUEL DAZA|NCAT - National Center for Appropriate Technology|http://www.hcdconnect.org/profiles/racquel-daza/|Hanoi, Vietnam|Environment;Community Development;Education;Agriculture
730|Improved Agriculture  through Women SHG Members for their Sustainable Livelihood and Empowerment|NBGK's agricultural projects have been affecting several tribal villages in the Pakuria district in Jharkhand, India, from the past 10 years. 50% of the population in the Pakuria district live below the poverty line, threfore, it is one of the poorest districts in India. Under agricultural interventions in the district, NBJK worked on livelihood promotion to support 50 villages in Pakuria and 50 villages in Maheshpur-raj by creating 27 farm-ponds, planting 18,000 fruit trees, land leveling, fishery training, and promoting fishery to 8 Self-Help groups (SHG)of women (also promoted and supported by NBJK). There are 80 active self-help groups of women in the area, and due to NBJK's support and encouragement all of them have savings accounts and bank accounts, are able to take loans, and meet on a monthly and weekly basis. Additionally to the the agricultural support, 38 of the SHG in the area are part of NBJK micro-credit program.|July 12, 2013|Helen Kras|Nav Bharat Jagriti Kendra (NBJK)|http://www.hcdconnect.org/profiles/helen-kras/|Mumbai, Maharashtra, India|Environment;Gender Equity;Agriculture
731|Expanding Sustainable Livelihoods for Tharu Women in Dang, Nepal|Tharuwomen from 90 poor families will participate the small animal husbandry training and goat or piglet rearing activities under Get-One-Give-One program to setup family-based income generation activities.|July 13, 2013|Pushker Kadel|Nav Bharat Jagriti Kendra (NBJK)|http://www.hcdconnect.org/profiles/pushker-kadel/|Bangladesh|Gender Equity;Agriculture;Financial Services
732|An insight of a Madi family|This story relates the poverty striken marginalised community of rural Inner Terai region of Nepal.|July 13, 2013|Sudarshan Rajbhandari|Nav Bharat Jagriti Kendra (NBJK)|http://www.hcdconnect.org/profiles/sudarshan-rajbhandari/|Turkey|Environment;Community Development;Health;Gender Equity;Education;Agriculture
733|Adult Literacy and Village Savings and Loan Association for Women|Old women in Atego got back to School to Learn how to read and write.|July 13, 2013|Odoo James Okello Rev.|Lutheran Church Mission in Uganda|http://www.hcdconnect.org/profiles/odoo-james okello rev./|Gauteng, South Africa|Gender Equity;Education;Agriculture;Community Development
734|New Seeds Planted Through Creative Arts|&#13;|July 13, 2013|Angelo Kondili|CAAI Cultural Artistic Association Iliria|http://www.hcdconnect.org/profiles/angelo-kondili/|Wolverton, United Kingdom|Community Development;Agriculture
735|Community decides its own fates through participatory decision making|This is about how Lokshakti, a small organization started small interventions towards ensuring the food and nutritional security of the rural poor community with building confidence, commitment and intuition to carry out the decisions taken by themselves after realization of the problems faced in their livelihood.|July 13, 2013|Ajit Kumar Pradhan|Lokshakti|http://www.hcdconnect.org/profiles/ajit kumar-pradhan/|Mumbai, Maharashtra, India|Environment;Community Development;Agriculture
736|Empowering women-farmers to enhance food security and poverty reduction in Liberia|Providing women-farmers easy access to productive inputs,training and financial support to alleviate poverty and hunger in Todee district, Montserrado County-Liberia.|July 13, 2013|Thomas Karmon|Liberian Foundation for Empowerment and Sustainable Development|http://www.hcdconnect.org/profiles/liberian-foundation-lfesd/|Gauteng, South Africa|Agriculture
737|'Self-help' and 'opportunity' - sustainable answers to addressing rural poverty in Uganda|bigeme is a poor-woman focused organisation that is out to proove that 'self-help' and ''opportunity' as opposed to 'charity'' are the answer to sustainable poverty eradication - with a grant of just over $180 a month, bigeme is transforming the lives of poor women in Uganda.|July 13, 2013|Apollo Gabazira|bigeme|http://www.hcdconnect.org/profiles/apollo-gabazira/|Gauteng, South Africa|Community Development;Agriculture;Financial Services;Gender Equity
738|Youth and women farmers a force to be reckoned around the world.|Suppoting women in farming/environmemtal conservation ,marketing and organizing into groups.|July 13, 2013|Vincent Atitwa|Matungu community development charity.|http://www.hcdconnect.org/profiles/vincent-atitwa/|Gauteng, South Africa|Environment;Water;Financial Services;Community Development;Energy;Education;Agriculture
739|Discovering the social dynamics of food supply chains at the Base of the Pyramid in Kenya|At SokoText, we are currently mapping out the food value chains from farmers in Kenya to consumers in Nairobis slums in order to identify opportunities to transform these systems for the better|July 13, 2013|Verena|Sokotext|http://www.hcdconnect.org/profiles/verena/|Gauteng, South Africa|Agriculture;Health
740|Community-led Agricultural Information System (CAIS)|We will study the current framework and flow of information in small scale farming, and the challenges associated with it. In addition, we will try to produce a prototype of a community-led agricultural information and knowledge management system, focused toward delivery of basic and current information to the farmer.|July 13, 2013|Girum Asnake Attafir|Ambo University|http://www.hcdconnect.org/profiles/girum asnake-attafir/|Gauteng, South Africa|Community Development;Agriculture
741|Roadless: Where the roads end, logistics continue|Roadless is about developing a wheel system that can be adapted to different terrains, in order to enable subsistence farmers to effectively move their produce to market centers in places with inadequate transportation infrastructure.|July 13, 2013|Junior Akimy Ngwenya|Royal College of Art|http://www.hcdconnect.org/profiles/ackeem-ngwenya/|Gauteng, South Africa|Community Development;Agriculture
742|Creating access to micro-credit for female farmers for enhanced productivity and livelihood in Nigeria|Mobilising micro-credit for female farmers with training in financial management skills,storage ,marketing and healthy beaviours in Ipaja/Ayobo Local Council Development Authority in Alimosho Local Government Area,Lagos, Nigeria.|July 13, 2013|Ebere Okey-Onyema|Royal College of Art|http://www.hcdconnect.org/profiles/ebere-okey-onyema/|Gauteng, South Africa|Water;Gender Equity;Environment;Community Development;Health;Financial Services;Education;Agriculture
743|emPOWERING India Prakash OWL (Outdoor Work Light)|People need outdoor lighting that can use to more efficiently complete tasks wherever they work.|July 13, 2013|Robin Karkowski-Schelar|Royal College of Art|http://www.hcdconnect.org/profiles/robin-karkowski-schelar-0/|Mumbai, Maharashtra, India|Energy;Agriculture
744|emPOWERING India Prakash OWL (Outdoor Work Light)|People need outdoor lighting that can use to more efficiently complete tasks wherever they work.|July 13, 2013|Robin Karkowski-Schelar|Royal College of Art|http://www.hcdconnect.org/profiles/robin-karkowski-schelar-0/|Mumbai, Maharashtra, India|Energy;Agriculture
745|Agriculture in Savanette to recover!|We are appropriating the idea of the agro Ecotourism and binational Fair tostraightenup the agriculture in Savanette: the Elderly from CEHSPAID are willing to set an example that we can!!!|July 13, 2013|Wesly Elize|Royal College of Art|http://www.hcdconnect.org/profiles/wesly-elize/|Jamaica|Agriculture
746|Women who take: bread, empanadas y tortitas|"Three women entrepreneurs carry on a productive project that includes jams, preserved fruits, bread, ""empanadas"" and ""tortitas""."|July 13, 2013|Claudia Bermejillo|Gestin Nativa|http://www.hcdconnect.org/profiles/claudia-bermejillo/|Sao Paulo - So Paulo, Brazil|Environment;Water;Education;Agriculture;Community Development
747|Women who take: bread, empanadas y tortitas|"Three women entrepreneurs carry on a productive project that includes jams, preserved fruits, bread, ""empanadas"" and ""tortitas""."|July 13, 2013|Claudia Bermejillo|Gestin Nativa|http://www.hcdconnect.org/profiles/claudia-bermejillo/|Sao Paulo - So Paulo, Brazil|Water;Environment;Education;Agriculture;Community Development
748|OKOA Social Entrepreneurship Centre Desks -  OSEDEK|Successful entrepreneurship demands thoroughly tailored, continuous coaching, mentoring, planning, managing and organizing services for results from a resourceful social Entrepreneurship Centrewith efficient community outreach desks|July 13, 2013|John Kimario|OKOA Society|http://www.hcdconnect.org/profiles/john-kimario/|Gauteng, South Africa|Community Development;Education;Agriculture
749|Highlighting Opportunities in the Agriculture Value Chain for Kenyan|Find out how we are promoting agriculture for self employment by Kenyan Youth through agribusiness training and consultancy.|July 13, 2013|Grace Njeri|OKOA Society|http://www.hcdconnect.org/profiles/grace-njeri/|Gauteng, South Africa|Agriculture
750|Hi!  Welcome to HCD connect divinegiljuano@yahoo.com|Keep our highlands green that yield more crops, raise more livestocks substantial to pull out our neglected highlanders from poverty, hunger, and powerlessness.|July 13, 2013|Juano Divine Gil|OKOA Society|http://www.hcdconnect.org/profiles/juano-divine gil/|Hanoi, Vietnam|Environment;Community Development;Agriculture
751|Confidence on Organic farming led to Success- A story of two farmers|Enabling the farmers to realize the reality and developing the capacity to compare and choose the best option is the weapon to build confidence and re-establish the organic farming is possible, though difficult in the age of modernization. This can be possible only of the resource persons from among the community will be identified and opportunity will be created to share their experience with hands on experience.|July 13, 2013|Shiba Prasad Sahu|Ahinsa Club|http://www.hcdconnect.org/profiles/shiba prasad-sahu/|Mumbai, Maharashtra, India|Environment;Community Development;Agriculture
752|Women for Nature|Establishing Women for Nature Groups in three Rural Communities to raise rural womens capacity for the sustainable use/management of local natural resources.|July 13, 2013|Agnesa Karapetyan|Ahinsa Club|http://www.hcdconnect.org/profiles/agnesa-karapetyan/|Bangladesh|Environment;Gender Equity;Education;Agriculture
753|Empowering Women in the Cassava Value Chain in Rural Philippines|The project focuses on increased value adding of cassava through processing and robust market positioning, improving the strategic position of women and children in the cassava value chain, from production, to processing and market of cassava in Calubian, Leyte, Eastern Visayas, Philippines.|July 13, 2013|REBECCA CORMANES|Trade and Industry|http://www.hcdconnect.org/profiles/rebecca-macabanta/|Bangladesh|Gender Equity;Agriculture
754|Economic empowerment of women farmers through Kitchen Gardening|Poor women farmers will use Kitchen Gardening as food security and to support thier families.|July 14, 2013|Sajad Abro|Society for Human advancement and Disadvantaged Empowerment (SHADE)|http://www.hcdconnect.org/profiles/sajad-abro/|Bangladesh|Agriculture
755|Combating food security with floating gardens made from recycled waste materials|This project develops floating gardens to ensure food security and increased nutrition.|July 14, 2013|Ian Jones|Society for Human advancement and Disadvantaged Empowerment (SHADE)|http://www.hcdconnect.org/profiles/ian-jones/|Turkey|Community Development;Health;Agriculture
756|Agriculture to recover in Savanette!|We are appropriating the idea of the agro Ecotourism and binational Fair tostraightenup the agriculture in Savanette: the Elderly from CEHSPAID are willing to set an example that we can!!!|July 14, 2013|Wesly Elize|Society for Human advancement and Disadvantaged Empowerment (SHADE)|http://www.hcdconnect.org/profiles/wesly-elize/|Jamaica|Agriculture
757|Community Farms - Feed People|Vertical farming in communities produce twice the produce as conventional farming.|July 14, 2013|Nancy Faria da Costa|Society for Human advancement and Disadvantaged Empowerment (SHADE)|http://www.hcdconnect.org/profiles/nancy-faria da costa/|Gauteng, South Africa|Environment;Agriculture;Education;Health;Community Development
758|There is demand. There is produce. But no Trade.|This is a story of how I reached my design challenge while trekking through the Himalayas.|July 14, 2013|Agraj Dangal|Society for Human advancement and Disadvantaged Empowerment (SHADE)|http://www.hcdconnect.org/profiles/agraj-dangal/|Hanoi, Vietnam|Community Development;Agriculture
759|Economy and ecology jointly|&#13;|July 14, 2013|Dzenisa Delalic|Faveda Ltd.|http://www.hcdconnect.org/profiles/dzenisa-delalic-0/|Roskilde University, Universitetsvej, Roskilde, Denmark|Community Development;Education;Health;Agriculture;Gender Equity
760|Switching to Basics: Positive intervention to ameliorate the condition of farmers|Positive entrepreneur intervention in the agriculture sector to halt the suicides of the farmers in the Central Indian agriculture belt.|July 14, 2013|Nilesh Heda|Faveda Ltd.|http://www.hcdconnect.org/profiles/nilesh-heda/|Mumbai, Maharashtra, India|Community Development;Agriculture;Financial Services
761|Urban Agriculture: Vegitable growing in a limited space with limited resources|&#13;|July 14, 2013|Mwesigwa Besigwa Geofrey|Vision for Green Light Uganda|http://www.hcdconnect.org/profiles/mwesigwa-b/|Gauteng, South Africa|Environment;Water;Health;Community Development;Gender Equity;Agriculture
762|Urban Agriculture: Vegitable growing in a limited space with limited resources|"&#13;
&#13;"|July 14, 2013|Mwesigwa Besigwa Geofrey|Vision for Green Light Uganda|http://www.hcdconnect.org/profiles/mwesigwa-b/|Gauteng, South Africa|Environment;Water;Health;Community Development;Gender Equity;Agriculture
